id,state,abbr,legalization_status89,legalization_status1617,Age1217_89,Age1217_1617,Age18_89,Age18_1617
1,Alabama,AL,3,3,10.11,9.67,8.31,10.63
2,Alaska,AK,2,1,15.89,16.51,16.29,23.43
4,Arizona,AZ,3,2,14.28,11.05,10.5,14.14
5,Arkansas,AR,3,2,12.33,10.87,10.61,12.78
6,California,CA,2,1,15.12,13.3,12.65,17.81
8,Colorado,CO,2,1,18.55,16.97,14.76,25.65
9,Connecticut,CT,3,2,15.91,14.73,12.2,16.37
10,Delaware,DE,3,2,15.53,13.48,11.43,14.92
12,Florida,FL,3,2,12.94,13.46,9.85,13.71
13,Georgia,GA,3,3,12.69,10.39,10.84,11.78
15,Hawaii,HI,2,2,14.45,11.43,11.82,13.29
16,Idaho,ID,3,3,13.44,12,10.32,12.7
17,Illinois,IL,3,2,13.33,13.34,10.22,13.88
18,Indiana,IN,3,3,12.9,13.31,9.99,14.54
19,Iowa,IA,3,3,11.72,10.22,7.25,11.51
20,Kansas,KS,3,3,12.12,11.76,9.09,11.95
21,Kentucky,KY,3,3,10.91,11.94,8.61,12.95
22,Louisiana,LA,3,2,9.76,9.92,8.37,12.48
23,Maine,ME,2,1,14.2,15.81,13.49,22.46
24,Maryland,MD,3,2,13.73,13.76,10.36,15.65
25,Massachusetts,MA,3,1,16.44,16.39,14.39,20.28
26,Michigan,MI,2,2,14.21,14.15,11.97,16.94
27,Minnesota,MN,3,2,11.29,12.95,10.27,13.78
28,Mississippi,MS,3,3,9.92,10.69,7.64,11.48
29,Missouri,MO,3,3,11.54,11.81,9.53,13.95
30,Montana,MT,2,2,15.5,15.91,11.9,19.86
31,Nebraska,NE,3,3,10.87,12.04,9.07,11.46
32,Nevada,NV,2,1,16.45,14.37,10.49,17.06
33,New Hampshire,NH,3,2,16.56,15.44,14.69,18.9
34,New Jersey,NJ,3,2,11.63,10.28,8.93,12.21
35,New Mexico,NM,2,2,16.83,15.62,10.3,17.71
36,New York,NY,3,2,14.87,11.88,12.61,14.74
37,North Carolina,NC,3,3,13.41,10.48,10.14,12.23
38,North Dakota,ND,3,2,9.42,10.27,8.18,11.02
39,Ohio,OH,3,2,12.97,12.17,9.77,13.92
40,Oklahoma,OK,3,3,12.69,11.31,9.91,12.18
41,Oregon,OR,2,1,18.34,17.01,14.01,27.38
42,Pennsylvania,PA,3,2,12.87,10.36,9.75,13.47
44,Rhode Island,RI,2,2,16.31,15.27,14.14,21.24
45,South Carolina,SC,3,3,11.75,10.57,9.1,11.14
46,South Dakota,SD,3,3,12.05,12.51,8.62,12.33
47,Tennessee,TN,3,3,10.52,11.68,9.52,13.55
48,Texas,TX,3,3,11.24,9.61,7.95,10.67
49,Utah,UT,3,3,9.73,9.2,6.83,10.58
50,Vermont,VT,2,2,16.67,17.88,15.88,24.34
51,Virginia,VA,3,3,13.8,10.35,9.33,11.92
53,Washington,WA,2,2,15.24,14.97,12.55,23.21
54,West Virginia,WV,3,2,12.05,10.7,9.37,13.1
55,Wisconsin,WI,3,3,13.71,12.61,10.33,12.71
56,Wyoming,WY,3,3,14.19,11.75,9.43,12.19
